Place,Competitor,DOB,Nat,Score,Event List,Profile_URL
1,Yomif KEJELCHA,01 AUG 1997,ETH,1457,5000m [3000m],https://worldathletics.org/athletes/ethiopia/yomif-kejelcha-14594967
2,Hagos GEBRHIWET,11 MAY 1994,ETH,1441,5000m [5 km Road],https://worldathletics.org/athletes/ethiopia/hagos-gebrhiwet-14477352
3,Berihu AREGAWI,28 FEB 2001,ETH,1421,5000m [3000m],https://worldathletics.org/athletes/ethiopia/berihu-aregawi-14848753
4,Telahun Haile BEKELE,13 MAY 1999,ETH,1409,5000m [3000m],https://worldathletics.org/athletes/ethiopia/telahun-haile-bekele-14797485
5,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1405,5000m [3000m],https://worldathletics.org/athletes/norway/jakob-ingebrigtsen-14653717
6,Jacob KIPLIMO,14 NOV 2000,UGA,1403,5000m,https://worldathletics.org/athletes/uganda/jacob-kiplimo-14735365
7,Selemon BAREGA,20 JAN 2000,ETH,1396,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/selemon-barega-14751317
8,Grant FISHER,22 APR 1997,USA,1364,5000m [3000m],https://worldathletics.org/athletes/united-states/grant-fisher-14591210
9,Luis GRIJALVA,10 APR 1999,GUA,1361,5000m [3000m],https://worldathletics.org/athletes/guatemala/luis-grijalva-14749285
10,Joshua CHEPTEGEI,12 SEP 1996,UGA,1350,5000m,https://worldathletics.org/athletes/uganda/joshua-cheptegei-14645612
11,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,1334,5000m [3000m],https://worldathletics.org/athletes/switzerland/dominic-lokinyomo-lobalu-14792211
12,Biniam MEHARY,20 DEC 2006,ETH,1333,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/biniam-mehary-15118094
13,Thierry NDIKUMWENAYO,26 MAR 1997,ESP,1331,5000m,https://worldathletics.org/athletes/spain/thierry-ndikumwenayo-14661449
14,Nicholas KIPKORIR,29 SEP 1998,KEN,1326,5000m [5 km Road],https://worldathletics.org/athletes/kenya/nicholas-kipkorir-14708978
15,Jacob KROP,04 JUN 2001,KEN,1315,5000m,https://worldathletics.org/athletes/kenya/jacob-krop-14808798
16,Birhanu BALEW,27 FEB 1996,BRN,1299,5000m,https://worldathletics.org/athletes/bahrain/birhanu-balew-14695983
17,Samuel TEFERA,23 OCT 1999,ETH,1297,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/samuel-tefera-14797484
18,Andreas ALMGREN,12 JUN 1995,SWE,1295,5000m [3000m],https://worldathletics.org/athletes/sweden/andreas-almgren-14460738
19,Kuma GIRMA,24 NOV 2005,ETH,1292,5000m,https://worldathletics.org/athletes/ethiopia/kuma-girma-14975226
20,Addisu YIHUNE,17 MAR 2003,ETH,1290,5000m [5 km Road],https://worldathletics.org/athletes/ethiopia/addisu-yihune-14977660
21,Mohammed AHMED,05 JAN 1991,CAN,1287,5000m,https://worldathletics.org/athletes/canada/mohammed-ahmed-14330105
22,Jimmy GRESSIER,04 MAY 1997,FRA,1268,5000m,https://worldathletics.org/athletes/france/jimmy-gressier-14694062
23,Cornelius KEMBOI,29 FEB 2000,KEN,1266,5000m,https://worldathletics.org/athletes/kenya/cornelius-kemboi-14894347
24,Narve Gilje NORDÅS,30 SEP 1998,NOR,1262,5000m [3000m],https://worldathletics.org/athletes/norway/narve-gilje-nordas-14705412
25,Mohamed ISMAIL,01 JAN 1997,DJI,1260,5000m [3000m],https://worldathletics.org/athletes/djibouti/mohamed-ismail-14661612
26,Stewart MCSWEYN,01 JUN 1995,AUS,1257,5000m [3000m],https://worldathletics.org/athletes/australia/stewart-mcsweyn-14500488
27,Cole HOCKER,06 JUN 2001,USA,1255,5000m [2 Miles sh],https://worldathletics.org/athletes/united-states/cole-hocker-14905834
28,Adriaan WILDSCHUTT,03 MAY 1998,RSA,1249,5000m [3000m],https://worldathletics.org/athletes/south-africa/adriaan-wildschutt-14741268
29,Brian FAY,09 NOV 1998,IRL,1248,5000m [3000m sh],https://worldathletics.org/athletes/ireland/brian-fay-14781522
30,Morgan MCDONALD,23 APR 1996,AUS,1247,5000m [2 Miles sh],https://worldathletics.org/athletes/australia/morgan-mcdonald-14496066
31,Joe KLECKER,16 NOV 1996,USA,1246,5000m [5000m sh],https://worldathletics.org/athletes/united-states/joe-klecker-14576389
32,Ishmael Rokitto KIPKURUI,10 FEB 2005,KEN,1241,5000m [2 Miles],https://worldathletics.org/athletes/kenya/ishmael-rokitto-kipkurui-14935332
33,Yann SCHRUB,20 MAR 1996,FRA,1235,5000m [3000m sh],https://worldathletics.org/athletes/france/yann-schrub-14528844
34,Mike FOPPEN,29 NOV 1996,NED,1229,5000m [5000m sh],https://worldathletics.org/athletes/netherlands/mike-foppen-14631296
35,Sam ATKIN,14 MAR 1993,GBR,1225,5000m [5000m sh],https://worldathletics.org/athletes/great-britain-ni/sam-atkin-14422240
36,Abdihamid NUR,14 OCT 1997,USA,1220,5000m [5000m sh],https://worldathletics.org/athletes/united-states/abdihamid-nur-14840626
37,Jonas RAESS,08 MAR 1994,SUI,1219,5000m [3000m],https://worldathletics.org/athletes/switzerland/jonas-raess-14427180
38,Egide NTAKARUTIMANA,21 OCT 1997,BDI,1219,5000m [3000m],https://worldathletics.org/athletes/burundi/egide-ntakarutimana-14987250
39,Isaac KIMELI,09 MAR 1994,BEL,1217,5000m [2 Miles],https://worldathletics.org/athletes/belgium/isaac-kimeli-14482919
40,Adel MECHAAL,05 DEC 1990,ESP,1215,5000m [3000m],https://worldathletics.org/athletes/spain/adel-mechaal-14376490
41,Paul CHELIMO,27 OCT 1990,USA,1212,5000m,https://worldathletics.org/athletes/united-states/paul-chelimo-14454958
42,John HEYMANS,09 JAN 1998,BEL,1210,5000m [5000m sh],https://worldathletics.org/athletes/belgium/john-heymans-14793417
43,Oscar CHELIMO,12 DEC 2001,UGA,1209,5000m [3000m],https://worldathletics.org/athletes/uganda/oscar-chelimo-14805793
44,Olin HACKER,21 MAY 1997,USA,1208,5000m [3000m sh],https://worldathletics.org/athletes/united-states/olin-hacker-14651787
45,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,1203,5000m [3000m],https://worldathletics.org/athletes/norway/henrik-ingebrigtsen-14215338
46,Benjamin FLANAGAN,11 JAN 1995,CAN,1199,5000m [3000m sh],https://worldathletics.org/athletes/canada/benjamin-flanagan-14479051
47,Magnus Tuv MYHRE,15 JUN 2000,NOR,1197,5000m,https://worldathletics.org/athletes/norway/magnus-tuv-myhre-14910807
48,Emil DANIELSSON,05 SEP 1997,SWE,1196,5000m [3000m],https://worldathletics.org/athletes/sweden/emil-danielsson-14593994
49,Jack RAYNER,19 DEC 1995,AUS,1195,5000m,https://worldathletics.org/athletes/australia/jack-rayner-14517160
50,Maximilian THORWIRTH,09 JAN 1995,GER,1192,5000m [3000m sh],https://worldathletics.org/athletes/germany/maximilian-thorwirth-14507787
51,Etienne DAGUINOS,15 FEB 2000,FRA,1192,5000m [3000m sh],https://worldathletics.org/athletes/france/etienne-daguinos-14756540
52,Robin HENDRIX,14 JAN 1995,BEL,1192,5000m [3000m sh],https://worldathletics.org/athletes/belgium/robin-hendrix-14487481
53,Hicham AKANKAM,04 APR 1998,MAR,1191,5000m [3000m sh],https://worldathletics.org/athletes/morocco/hicham-akankam-14649305
54,Sam PARSONS,18 JUN 1994,GER,1191,5000m [3000m],https://worldathletics.org/athletes/germany/sam-parsons-14628221
55,Ahmed MUHUMED,01 JAN 1998,USA,1189,5000m [5000m sh],https://worldathletics.org/athletes/united-states/ahmed-muhumed-14643341
56,James WEST,30 JAN 1996,GBR,1186,5000m [3000m],https://worldathletics.org/athletes/great-britain-ni/james-west-14525705
57,Dawit SEARE,29 DEC 2004,ERI,1185,5000m [5 km Road],https://worldathletics.org/athletes/eritrea/dawit-seare-14985194
58,Mohamed ABDILAAHI,24 MAR 1999,GER,1185,5000m [3000m],https://worldathletics.org/athletes/germany/mohamed-abdilaahi-14753471
59,Hugo HAY,28 MAR 1997,FRA,1184,5000m [3000m sh],https://worldathletics.org/athletes/france/hugo-hay-14593376
60,Matthew RAMSDEN,23 JUL 1997,AUS,1179,5000m [3000m],https://worldathletics.org/athletes/australia/matthew-ramsden-14576384
61,Ky ROBINSON,27 FEB 2002,AUS,1177,5000m [5000m sh],https://worldathletics.org/athletes/australia/ky-robinson-14865727
62,Darragh MCELHINNEY,09 NOV 2000,IRL,1176,5000m [3000m sh],https://worldathletics.org/athletes/ireland/darragh-mcelhinney-14757536
63,Thomas FAFARD,06 DEC 1998,CAN,1175,5000m,https://worldathletics.org/athletes/canada/thomas-fafard-14717427
64,Daniel Simiu EBENYO,18 SEP 1995,KEN,1174,5000m,https://worldathletics.org/athletes/kenya/daniel-simiu-ebenyo-14916366
65,Cooper TEARE,18 AUG 1999,USA,1173,5000m,https://worldathletics.org/athletes/united-states/cooper-teare-14757466
66,Ouassim OUMAIZ,30 MAR 1999,ESP,1173,5000m,https://worldathletics.org/athletes/spain/ouassim-oumaiz-14682421
67,Yemaneberhan CRIPPA,15 OCT 1996,ITA,1172,5000m [3000m],https://worldathletics.org/athletes/italy/yemaneberhan-crippa-14513998
68,Santiago CATROFE,13 FEB 1999,URU,1169,5000m [3000m],https://worldathletics.org/athletes/uruguay/santiago-catrofe-14706109
69,Elzan BIBIĆ,08 JAN 1999,SRB,1168,5000m [3000m],https://worldathletics.org/athletes/serbia/elzan-bibic-14645235
70,Parker WOLFE,27 JUL 2003,USA,1168,5000m [3000m sh],https://worldathletics.org/athletes/united-states/parker-wolfe-14907166
71,Scott BEATTIE,04 DEC 1998,GBR,1167,5000m [3000m sh],https://worldathletics.org/athletes/great-britain-ni/scott-beattie-014706588
72,Emmanuel KIPCHIRCHIR,27 NOV 2003,KEN,1167,5000m,https://worldathletics.org/athletes/kenya/emmanuel-kipchirchir-014956049
73,Jack ROWE,30 JAN 1996,GBR,1166,5000m [5000m sh],https://worldathletics.org/athletes/great-britain-ni/jack-rowe-14524902
74,Charles HICKS,25 JUL 2001,GBR,1166,5000m [5000m sh],https://worldathletics.org/athletes/great-britain-ni/charles-hicks-14884801
75,Muktar EDRIS,14 JAN 1994,ETH,1164,5000m [5 km Road],https://worldathletics.org/athletes/ethiopia/muktar-edris-14464221
76,Awet Nftalem KIBRAB,09 MAY 1995,NOR,1164,5000m [5 km Road],https://worldathletics.org/athletes/norway/awet-nftalem-kibrab-14579463
77,Bob LIKING,16 MAY 2002,USA,1164,5000m [3000m sh],https://worldathletics.org/athletes/united-states/bob-liking-14968470
78,Sebastian FREY,28 MAY 2002,AUT,1164,5000m [3000m sh],https://worldathletics.org/athletes/austria/sebastian-frey-14847846
79,Bastien AUGUSTO,10 AUG 1999,FRA,1163,5000m,https://worldathletics.org/athletes/france/bastien-augusto-14869306
80,Kazuya SHIOJIRI,08 NOV 1996,JPN,1161,5000m,https://worldathletics.org/athletes/japan/kazuya-shiojiri-14648834
81,Sergio JIMÉNEZ,07 JAN 1995,ESP,1161,5000m [3000m sh],https://worldathletics.org/athletes/spain/sergio-jimenez-014645067
82,Per SVELA,19 MAR 1992,NOR,1160,5000m [3000m sh],https://worldathletics.org/athletes/norway/per-svela-14704734
83,Célestin NDIKUMANA,22 FEB 2002,BDI,1159,5000m [3000m],https://worldathletics.org/athletes/burundi/celestin-ndikumana-14993101
84,Florian BREMM,14 AUG 2000,GER,1158,5000m,https://worldathletics.org/athletes/germany/florian-bremm-14755523
85,Hyuga ENDO,05 AUG 1998,JPN,1157,5000m,https://worldathletics.org/athletes/japan/hyuga-endo-14671549
86,Sean MCGORTY,08 MAR 1995,USA,1156,5000m,https://worldathletics.org/athletes/united-states/sean-mcgorty-14463588
87,Charles WHEELER,04 JUL 1998,GBR,1156,5000m [3000m sh],https://worldathletics.org/athletes/great-britain-ni/charles-wheeler-14769121
88,Kibet KANDIE,02 APR 1996,KEN,1156,5000m,https://worldathletics.org/athletes/kenya/kibet-kandie-14808800
89,Mahadi ABDI ALI,08 NOV 1995,NED,1154,5000m [3000m sh],https://worldathletics.org/athletes/netherlands/mahadi-abdi-ali-14647173
90,Kieran TUNTIVATE,16 FEB 1997,THA,1153,5000m [2 Miles sh],https://worldathletics.org/athletes/thailand/kieran-tuntivate-14647807
91,Davor Aaron BIENENFELD,25 SEP 1997,GER,1152,5000m [5000m sh],https://worldathletics.org/athletes/germany/davor-aaron-bienenfeld-14716024
92,Jackson SHARP,21 AUG 2000,AUS,1152,5000m [3000m sh],https://worldathletics.org/athletes/australia/jackson-sharp-014727734
93,Gulveer SINGH,01 JUN 1998,IND,1152,5000m,https://worldathletics.org/athletes/india/gulveer-singh-15023839
94,Keita SATOH,22 JAN 2004,JPN,1151,5000m [2 Miles sh],https://worldathletics.org/athletes/japan/keita-satoh-14954502
95,Vladimir NIKITIN,05 AUG 1992,RUS,1151,5000m,https://worldathletics.org/athletes/russia/vladimir-nikitin-014442497
96,Abdessamad OUKHELFEN,18 DEC 1998,ESP,1151,5000m [5 km Road],https://worldathletics.org/athletes/spain/abdessamad-oukhelfen-14708418
97,Romain LEGENDRE,06 JAN 2000,FRA,1151,5000m [5000m sh],https://worldathletics.org/athletes/france/romain-legendre-014798941
98,Valentin GONDOUIN,04 MAR 1999,FRA,1149,5000m [3000m sh],https://worldathletics.org/athletes/france/valentin-gondouin-14900468
99,Morgan LE GUEN,12 SEP 1993,SUI,1149,5000m,https://worldathletics.org/athletes/switzerland/morgan-le-guen-014897757
100,Merhawi MEBRAHTU,21 SEP 2003,ERI,1149,5000m,https://worldathletics.org/athletes/eritrea/merhawi-mebrahtu-14935339
